,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
270,Supplier delay ETA from May 10th to May 15th.,105621,RODA WAX KCF 604/N,TFL Italy,O,COMPOUND,SIENA,85,120, 240 ,2023-05-15::240.0," 2,280 ", 507 , 77 , 266 , 89 , 299 , 36.19 ,4.8, 39.31 , -   , -   ,,, 77 , -   ,"2,787 ","2,710 ",,
256,Supplier delays ETA from May 10th to May 15th. ,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",85,120, 100 ,2023-05-15::75.0|||NaT::25.0, 50 , 18 , -   , 1 , 1 , -   , 68.00 ,4.8, 168.00 , -   , -   ,,, -   , -   ,68 ,68 ,,
134,,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000," 8,000 ",2023-03-19::8000.0," 8,000 ", -   ," 3,372 ", 986 ,, -   , 2.37 ,4.5, 4.74 , -   , -   ,,," 3,372 "," 2,307 ","5,693 ","4,628 ",,
21,Shipments should be on time,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 840 , 81 , 264 , 121 , 114 , 115 , 3.49 ,4.8, 3.49 , 343 , 2.9 ,,, 264 , 146 ,775 ,657 ,,
49,"Will purchase on the next chimical metting, consumtion high - need to follow up",104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-," 1,540 ", 108 , 509 , 569 , 481 ," 1,266 ", 3.24 ,4.7, 3.24 , 764 , 6.9 ,,, 509 , 180 ,"1,468 ","1,139 ",,
0,,104989,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80,120, 840 ,2023-04-10::840.0, 360 , 348 , -   , 207 , 233 , 278 , 3.04 ,4.7, 6.64 , -   , -   ,,, 233 , -   ,475 ,708 ,,
1,,104988,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80,120, -   ,-," 4,680 ", 399 , 3 , 334 , 319 , 434 , 15.92 ,4.7, 15.92 , -   , -   ,,, 3 , -   ,"5,079 ","5,076 ",,
2,,100094,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23,204, -   ,-, -   , 67 , -   , 58 , 46 , 85 , 1.46 ,2.8, 1.46 , -   , -   ,,, -   , -   ,67 ,67 ,,
3,,104769,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 420 , 29 , -   , 28 , 42 , 21 , 10.69 ,4.8, 10.69 , -   , -   ,,, -   , -   ,449 ,449 ,,
4,,105458,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 95 , 76 , 28 , 37 , 47 , 13.88 ,4.8, 13.88 , -   , -   ,,, 76 , 37 ,"1,018 ",979 ,,
