,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
53,,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-17::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,, -   , -   ,4.7,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,
54,,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10, 750 ,2023-05-12::10.0|||2023-05-16::740.0, 880 , 369 , 455 , 353 , 374 , 114 , 2.75 ,4.8, 4.39 , 182 , 18.2 ,,, 455 , 213 ,"1,036 ",794 ,
58,,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
59,Waiting for shipments,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,630 ",2023-04-09::440.0|||2023-04-05::660.0|||2023-05-11::2530.0," 2,090 ", 374 ," 2,460 "," 2,004 "," 2,203 ", 857 , 1.00 ,2.8, 2.48 , 738 , 6.7 ,,," 2,460 "," 1,788 ",676 ,4 ,
60,,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, -   ,-, 385 , 39 , 430 , 222 , 293 , 73 , 0.99 ,2.8, 0.99 , 774 , 14.1 ,,, 430 , 106 ,318 ,(6),
61,,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
62,,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
63,,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 148 , 35 , 17 , 21 , 5 , 45.37 ,4.8, 45.37 , -   , -   ,,, 35 , 11 ,"1,577 ","1,553 ",
64,,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
65,,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,480 ", 185 , 799 , 342 , 400 , 272 , 4.59 ,4.8, 4.59 , 160 , 1.3 ,,, 799 , 455 ,"3,210 ","2,866 ",
66,,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
67,,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 82 , 155 , 71 , 91 , 9 , 5.17 ,4.8, 5.17 , -   , -   ,,, 155 , 77 ,725 ,647 ,
68,,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 57 , 62 , 36 , 48 , 20 , 7.69 ,4.8, 7.69 , -   , -   ,,, 62 , 36 ,441 ,415 ,
69,,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
70,,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
71,,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
72,Waiting for shipment,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 4,250 "," 2,207 "," 21,633 "," 19,682 "," 21,035 "," 8,020 ", 0.30 ,2.5, 0.30 ," 47,593 ", 56.0 ,,," 21,633 "," 9,862 ","(3,405)","(15,176)",
73,,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   , -   ,2.7, -   , -   , -   ,,, -   , -   ,100 ,100 ,
74,,100029,HM-183,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,15 ,15 ,
75,,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
76,,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 125 , 25 , 56 , 46 , 44 , 13 , 2.68 ,2.8, 2.68 , 6 , 0.2 ,,, 56 , 15 ,135 ,94 ,
77,Waiting for shipment,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 1,430 ", 505 ," 1,270 ", 898 , 861 , 418 , 1.52 ,4.8, 2.82 ," 2,540 ", 23.1 ,,," 1,270 ", 779 ,"1,156 ",665 ,
79,,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
80,,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 3,600 ",2023-28-05::3600.0," 3,720 ", 349 ," 2,736 "," 1,179 "," 1,521 ", 781 , 1.49 ,4.3, 2.80 ," 4,104 ", 34.2 ,,," 2,736 ", 789 ,"3,280 ","1,333 ",
81,,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
83,,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , -   ," 11,926 "," 3,187 "," 2,695 ", -   , -   ,4.7, -   ," 56,052 ", 56.1 ,,," 11,926 "," 3,830 ","(3,830)","(11,926)",
