,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE YELLOW""",70,10, -   ,-, 570 , 46 , 36 , 27 , 24 ,20.5,5.3,20.5, -   , -   ,,, 30 , 21 ,595 ,586 ,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 7,650 ", 620 ," 14,745 "," 16,354 "," 16,162 ",0.5,3.5,0.5," 46,362 ", 54.5 ,,," 15,454 "," 8,039 ",231 ,"(7,184)",
72,104564,HM-283,STAHL(Singapore),O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,,,3.7,0, -   , -   ,,,, -   ,100 ,,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   , -   ,15,0,15, -   , -   ,,, -   , -   ,15 ,15 ,
74,104563,HM-132,STAHL sigapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0 ,,
75,105205,HM-22-132,STALH Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 125 , 7 , 48 , 41 , 44 ,2.9,3.8,2.9, 41 , 1.7 ,,, 46 , 18 ,114 ,86 ,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,KELA,83,110," 2,200 ",2023-02-07::2200.0," 1,650 ", 435 ," 1,100 ", 840 , 859 ,2.1,5.8,4.4," 1,372 ", 12.5 ,,, 980 , 666 ,"1,419 ","1,105 ",
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,70,1000," 18,000 ",2023-03-23::18000.0," 12,000 "," 1,821 "," 18,382 "," 6,101 "," 7,055 ",1.1,5.3,2.5," 35,610 ", 35.6 ,,," 12,718 "," 3,518 ","10,303 ","1,103 ",
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,,,5.7,0, -   , -   ,,,, -   ,0 ,,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-18::1920.0," 6,600 ", 11 ," 3,152 ", 816 , 654 ,3.5,5.3,4.5," 1,522 ", 12.7 ,,," 1,903 ", 490 ,"6,121 ","4,708 ",
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,,,5.8,0, -   , -   ,,,, -   ,0 ,,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,70,1000," 58,000 ",2023-02-05::10000.0|||2023-02-26::5000.0|||NaT::2000.0|||NaT::8000.0|||NaT::10000.0|||NaT::23000.0," 15,000 "," 2,243 "," 31,604 "," 14,442 "," 16,025 ",0.7,5.3,3.2," 50,009 ", 50.0 ,,," 23,814 "," 16,352 ",891 ,"(6,571)",
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC ?ã ??i tên thành (BINDER W 207)",70,1000, -   ,-," 3,000 "," 1,420 "," 10,277 "," 3,438 "," 3,548 ",0.6,5.3,0.6," 32,486 ", 32.5 ,,," 6,912 "," 4,525 ",(105),"(2,492)",
83,105151,BINDER W 207,GSC ITALY,O,-,"Compound,Tên m?i c?a BINDER W 212",70,1000," 8,000 ",2023-02-05::2000.0|||NaT::3000.0|||NaT::3000.0," 2,000 ", -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,"2,000 ",,
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",83,120," 6,000 ",2023-03-27::6000.0, -   , -   ," 3,914 "," 1,578 "," 2,273 ",0,5.8,1.9," 12,067 ", 100.6 ,,," 3,094 "," 3,499 ","(3,499)","(3,094)",
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 86 , -   ,,,3.5,0, -   , -   ,,,, 70 ,(70),,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 709 , 1 , 85 , 49 ,44.4,3.5,44.4, -   , -   ,,, 25 , -   ,"1,109 ","1,084 ",
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,,3,0, -   , -   ,,,, -   ,0 ,,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0 ,,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",83,30, -   ,-," 1,380 ", 87 , 5 , 15 , 5 ,293.4,5.8,293.4, -   , -   ,,, 5 , -   ,"1,467 ","1,462 ",
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0 ,,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0 ,,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 4 , -   ,,,5.3,0, -   , -   ,,,, 9 ,(9),,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120, 360 ,NaT::360.0, 960 , 84 , 321 , 176 , 174 ,4.2,5.3,5.7, -   , -   ,,, 248 , 82 ,962 ,796 ,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,xài h?t không mua n?a chuy?n qua mua SHADE LEMON,70,10, -   ,-, -   , 20 , 13 , 10 , 7 ,2,5.3,2, 33 , 3.3 ,,, 10 , 4 ,16 ,10 ,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, 40 , 2 , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,42 ,,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
97,104588,LS-8296,STAHL sigapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0 ,,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,,,5.8,0, -   , -   ,,,, -   ,100 ,,
99,104891,LS-64-256,STALH Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,000 ",NaT::1000.0, 500 , 496 , 936 , 480 , 408 ,1.5,3.8,3, 538 , 5.4 ,,, 672 , 648 ,348 ,324 ,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,83,110, -   ,-, -   , -   ," 2,788 ", -   ,,,5.8,0, -   , -   ,,,," 1,640 ","(1,640)",,
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",83,110," 4,400 ",2023-03-27::4400.0," 5,940 ", 341 , -   ," 2,096 "," 2,329 ",5.4,5.8,9.2, -   , -   ,,," 1,164 ", -   ,"6,281 ","5,117 ",
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-," 1,035 ", 13 , 16 , 39 , 32 ,43.7,5.5,43.7, -   , -   ,,, 24 , -   ,"1,048 ","1,024 ",
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,,,6.5,0, -   , -   ,,,, -   ,0 ,,
104,104937,MELIO AQUABASE W-MN,STAHL singapore,O,-,STUCCO BY HAND,25,70, 540 ,NaT::540.0, 350 , 270 , -   , 345 , 308 ,4,3.8,7.5, -   , -   ,,, 154 , -   ,620 ,466 ,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,,,3.5,0, -   , -   ,,,, -   ,5 ,,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 330 , 209 , 142 , 259 , 199 ,3.2,3.5,3.2, 51 , 0.3 ,,, 170 , 28 ,511 ,369 ,
107,104676,MELIO PROMUL AP-39 A,Stahl Singapore,O,COMPOUND,-,25,120," 2,040 ",NaT::2040.0, 120 ," 1,270 "," 2,369 "," 1,214 "," 1,100 ",0.8,3.8,2," 3,121 ", 26.0 ,,," 1,734 ", 968 ,422 ,(344),
108,104961,RODA PUR 65,TFL,O,-,"xài h?t không mua n?a, chuy?n qua xài ASTACIN FINISH PUMN TF",83,1000, -   ,-," 6,000 ", -   , -   , -   ,,,5.8,0, -   , -   ,,,, -   ,"6,000 ",,
109,105505,ASTACIN FINISH PUMN TF,STAHL Germany,O,COMPOUND,"ch?t t??ng ???ng c?a nó là RODA PUR 65, khi g?n h?t s? l??ng stock hi?n t?i thì báo K? thu?t chuy?n qua xài RODA PUR 65 cho h?t, sau ?ó chuy?n qua ch?t này xài luôn, ch?t này mình yêu c?u  keep stock ? Singapore",71,120," 9,600 ",2023-02-12::1440.0|||NaT::8160.0, 600 , 650 ," 4,507 "," 2,003 "," 2,002 ",0.4,5.4,3.3," 6,833 ", 56.9 ,,," 3,254 "," 2,259 ","(1,009)","(2,004)",
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,83,10," 2,400 ",NaT::900.0|||2023-03-27::1500.0," 2,000 ", 461 ," 1,241 ", 591 , 567 ,2.7,5.8,5.4, 362 , 36.2 ,,, 904 , 496 ,"1,965 ","1,557 ",
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,,,5.8,0, -   , -   ,,,, -   ,0 ,,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,,,3,0, -   , -   ,,,, -   ,0 ,,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,,,3,0, -   , -   ,,,, -   ,0 ,,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,70,1000, -   ,-, -   , 156 , -   , 1 , 2 ,156,5.3,156, -   , -   ,,, 1 , -   ,156 ,155 ,
