,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 209 , 47 , 13 , 16 , 32 ,35.1,4.8, 35.10 , -   , -   ,,, 47 , 4 ,"1,645 ","1,602 ",,
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,960 ", 267 , 631 , 291 , 250 , 506 ,6.7,4.8, 6.70 , -   , -   ,,, 631 , 155 ,"4,072 ","3,596 ",,
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 115 , 91 , 58 , 79 , 98 ,9.2,4.8, 9.20 , -   , -   ,,, 91 , 124 ,711 ,744 ,,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 102 , 41 , 32 , 34 , 55 ,12.7,4.8, 12.70 , -   , -   ,,, 41 , 21 ,501 ,481 ,,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 5,950 "," 1,867 "," 18,098 "," 16,892 "," 18,370 "," 21,874 ",0.4,2.5, 0.40 ," 38,006 ", 44.7 ,,," 18,098 "," 9,168 ","(1,351)","(10,281)",,
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   ,#DIV/0!, 2.67 ,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,15 ,15 ,,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, 100 ,NaT::100.0, 25 , 58 , 71 , 46 , 43 , 23 ,1.2,2.8, 2.61 , 14 , 0.6 ,,, 71 , 22 ,61 ,12 ,,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 2,420 ", 411 ," 1,099 ", 834 , 912 , 598 ,2.6,4.8, 4.10 , 769 , 7.0 ,,," 1,099 ", 766 ,"2,065 ","1,732 ",,
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 80,000 ",2023-04-02::18000.0|||2023-05-05::18000.0|||2023-05-05::8000.0|||NaT::36000.0, -   , -   ," 17,281 "," 6,475 "," 7,789 "," 7,371 ",0,4.7, 4.63 ," 1,728 ", 1.7 ,,," 17,281 "," 4,648 ","(4,648)","(17,281)",,
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-26::1920.0," 3,600 ", 758 ," 2,218 ", 865 , 730 ," 1,704 ",2,4.3, 2.87 ," 3,327 ", 27.7 ,,," 2,218 ", 158 ,"4,200 ","2,140 ",,
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 120,000 ",2023-04-09::2000.0|||2023-04-15::8000.0|||2023-04-09::10000.0|||2023-04-13::18000.0|||2023-04-19::5000.0|||2023-04-22::24000.0|||2023-04-24::9000.0|||2023-03-13::5000.0|||2023-03-13::3000.0|||NaT::36000.0," 4,000 "," 2,380 "," 34,532 "," 16,034 "," 16,813 "," 18,796 ",0.2,4.7, 3.68 ," 34,532 ", 34.5 ,,," 34,532 "," 12,210 ","(5,830)","(28,152)",,
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , 3 ," 10,897 "," 3,969 "," 4,174 ", 49 ,0,4.7, -   ," 51,216 ", 51.2 ,,," 10,897 "," 3,980 ","(3,977)","(10,894)",,
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,80,1000," 47,000 ",2023-04-09::3000.0|||2023-04-19::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-03-13::2000.0|||2023-03-13::3000.0|||NaT::18000.0," 2,000 "," 1,187 ", 438 , 219 , 438 ," 4,500 ", 7.28 , 4.67 , 114.58 , -   , -   ,,, -   , -   ,"3,187 ","3,187 ",,
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 34,000 ",2023-03-27::6000.0|||NaT::18000.0|||NaT::10000.0, -   , 266 ," 5,492 "," 1,455 "," 1,861 "," 1,334 ",0,4.8, 6.19 , -   , -   ,,," 5,492 "," 9,964 ","(9,698)","(5,226)",,
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 94 , -   ,, -   ,0,2.5, -   , 235 , 1.2 ,,, 94 , 45 ,(45),(94),,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 522 , 78 , 93 , 78 , 77 , 11.82 ,2.5, 11.82 , -   , -   ,,, 1 , -   ,922 ,921 ,,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.00 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 3.80 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 83 , 5 , 12 , 5 , 2 , 292.60 ,4.8, 292.60 , -   , -   ,,, 6 , -   ,"1,463 ","1,457 ",,
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 3.80 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 3.80 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-13::360.0|||NaT::1080.0, 360 , 147 , 426 , 205 , 217 , 242 ,1.2,4.8, 4.58 , 85 , 0.7 ,,, 426 , 49 ,458 ,81 ,,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 13 , 11 , 9 , 5 , 1 ,1.2,4.8, 1.20 , 40 , 4.0 ,,, 11 , -   ,13 ,2 ,,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 6 , -   , -   ,, 6 ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,36 ,36 ,,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   ,#DIV/0!, 4.77 ,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,,
