,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70,50,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190,  -    ,-," 2,090 ", 182 ,, 936 ,936, 597 , 655 , 300 ,2.4,2.5,2.4, 94 , 0.5 ,,, 936 , 523 ,"1,749","1,336",
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120,  -    ,-, 120 , 99 ,, 7 ,7, 8 , 1 ,  -    ,31.3,2.5,31.3,  -    ,  -    ,,, 7 ,  -    ,219,212,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,70,50,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70,110,  -    ,-," 2,310 ", 470 ,, 620 ,620, 569 , 481 , 134 ,4.5,4.3,4.5,  -    ,  -    ,,, 620 , 319 ,"2,461","2,160",
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70,110,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),70,120,  -    ,-, 240 , 59 ,, 258 ,258, 110 , 106 , 60 ,1.2,4.3,1.2, 800 , 6.7 ,,, 258 , 124 ,175,41,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,70,120, 960 ,2023-04-13::480.0|||NaT::480.0, 360 ,  -    ,,  -    , -   ,  -    ,,  -    ,360,0,1320,  -    ,  -    ,,,  -    ,  -    ,360,360,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83,10, 750 ,NaT::750.0," 1,630 ", 256 ,, 436 ,436, 307 , 321 , 68 ,4.3,4.8,6,  -    ,  -    ,,, 436 , 262 ,"1,624","1,450",
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120,  -    ,-,  -    , 39 ,," 4,096 ",4096," 1,913 "," 1,268 ",  -    ,0,4.3,0," 17,613 ", 146.8 ,,," 4,096 "," 1,836 ","-1,797","-4,057",
56,105150,AQ SYSTEM 555 LUX,GSC,O,-,ten moi cua AQUAFIX LUCID 555,70,120," 6,840 ",2023-04-13::3000.0|||2023-04-19::3840.0," 3,120 ", 599 ,,  -    , -   , 728 ," 1,456 ", 792 ,3719,0,10559,  -    ,  -    ,,,  -    ,  -    ,"3,719","3,719",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
