,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,NaT::30.0, 40 , 2 , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,42,,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   ,,2.8,0, -   , -   ,,,, -   ,0,,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,100,,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100, 500 ,2023-03-09::500.0, 500 , 224 , 896 , 555 , 649 , 288 ,0.9,2.8,1.6, 926 , 9.3 ,,, 772 , 940 ,-216,-48,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,83,110, -   ,-, -   , -   ," 2,733 ", -   ,, -   ,,4.8,0, -   , -   ,,,," 2,329 ","-2,329",,
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",83,110," 4,400 ",2023-03-27::4400.0," 3,300 ", 386 , -   ," 2,274 "," 2,566 ", 425 ,2.9,4.8,6.3, -   , -   ,,," 1,283 ", -   ,"3,686","2,403",
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 86 , 16 , 36 , 27 , 8 ,46.9,4.5,46.9, -   , -   ,,, 22 , -   ,"1,031","1,009",
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   ,,5.5,0, -   , -   ,,,, -   ,0,,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, -   ,-, 560 , 216 , -   , 362 , 366 , 37 ,4.2,2.8,4.2, -   , -   ,,, 183 , -   ,776,593,
