,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.9,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 20 , 257 , 122 , 138 , 219 , -   , 0.54 ,4.7, 5.14 , -   , -   , -   , 0.54 , 257 , 59 ,81 ,(117),Replacement
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-17::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   , -   ,#DIV/0!, -   , -   ,360 ,360 ,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10, 750 ,2023-05-12::10.0|||2023-05-16::740.0, 980 , 374 , 464 , 353 , 374 , 558 , -   , 2.92 ,4.8, 4.53 , 123 , 14.0 , 140.0 , 4.84 , 464 , 248 ,"1,106 ",890 ,
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , -   ," 3,194 "," 1,430 ", 286 ,#N/A, -   , -   ,4.3, -   ," 13,734 ", -   , -   , -   ," 3,194 "," 1,657 ","(1,657)","(3,194)",Consumption high -Need to check.
56,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-22::3840.0|||2023-05-14::3000.0, -   , -   , -   ," 1,477 "," 2,953 "," 4,491 ", -   , -   ,4.3, 3.33 ," 2,858 ", 25.0 ," 3,000.0 ", 4.35 , -   , -   ,0 ,0 ,
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,630 ",2023-04-09::440.0|||2023-04-05::660.0|||2023-05-11::2530.0," 1,210 ", 144 ," 2,355 "," 2,004 "," 2,203 "," 3,238 ", 50 , 0.57 ,2.8, 2.12 ," 1,610 ", 15.0 ," 1,650.0 ", 2.82 ," 2,355 "," 1,596 ",(242),"(1,001)",Consumption high -Need to check.
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, -   ,-, 440 , 39 , 431 , 222 , 293 , 403 , 19 , 1.11 ,2.8, 1.11 , 728 , 14.0 , 770.0 , 2.90 , 431 , 141 ,338 ,48 ,
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 154 , 35 , 17 , 21 , 38 , -   , 45.54 ,4.8, 45.54 , -   , -   , -   , 45.54 , 35 , 15 ,"1,579 ","1,559 ",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,480 ", 384 , 798 , 342 , 400 , 748 , 45 , 4.84 ,4.8, 4.84 , -   , 2.0 , 240.0 , 5.14 , 798 , 458 ,"3,406 ","3,066 ",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 91 , 156 , 71 , 91 , 119 , -   , 5.20 ,4.8, 5.20 , -   , -   , -   , 5.20 , 156 , 92 ,719 ,655 ,
