,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 87,000 ",2023-04-11::18000.0|||2022-05-12::18000.0|||2023-05-08::8000.0|||NaT::18000.0|||NaT::18000.0|||NaT::3000.0|||NaT::4000.0," 4,000 ", 794 ," 16,908 "," 6,475 "," 7,789 "," 7,986 ", 0.28 ,4.7, 5.43 , -   , -   ,,," 16,908 "," 6,600 ","(1,806)","(12,114)",,, 307 ,
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 5,520 ",2023-03-26::1920.0|||2023-05-22::3600.0," 2,400 ", 567 ," 2,012 ", 865 , 730 ," 3,011 ", 1.47 ,4.3, 4.22 , 201 , 1.7 ,,," 2,012 ", 199 ,"2,768 ",955 ,,, 116 ,
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 119,000 ",2023-04-10::2000.0|||2023-04-15::8000.0|||2023-04-10::10000.0|||2023-04-17::18000.0|||2023-04-22::5000.0|||2023-04-24::24000.0|||2023-04-24::9000.0|||2023-05-08::24000.0|||2023-05-08::6000.0|||NaT::6000.0|||2023-03-29::4000.0|||2023-03-26::3000.0," 4,000 "," 1,259 "," 34,822 "," 16,034 "," 16,813 "," 23,675 ", 0.15 ,4.7, 3.57 ," 41,786 ", 41.8 ,,," 34,822 "," 15,242 ","(12,428)","(32,008)",,, 911 ,
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , -   ," 10,864 "," 3,969 "," 4,174 ", 49 , -   ,4.7, -   ," 51,061 ", 51.1 ,,," 10,864 "," 3,994 ","(3,994)","(10,864)",,, 2 ,
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,80,1000," 47,000 ",2023-04-10::3000.0|||2023-04-22::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-05-08::12000.0|||2023-05-08::6000.0|||2023-03-29::2000.0|||2023-03-26::3000.0," 3,000 "," 1,035 ", -   , 219 , 438 ," 6,214 ", 0.37 ,4.7, 4.70 , -   , -   ,,, -   , -   ,"4,306 ","4,306 ",,, 239 ,
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 34,000 ",2023-03-28::6000.0|||2023-05-12::11000.0|||2023-05-16::7000.0|||NaT::10000.0, -   , 53 ," 5,572 "," 1,455 "," 1,861 "," 1,509 ", 0.01 ,4.8, 6.11 , -   , -   ,,," 5,572 "," 5,953 ","(5,900)","(5,519)",,, 58 ,
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 91 , -   ,, -   , -   ,2.5, -   , 228 , 1.1 ,,, 91 , 35 ,(35),(91),,, -   ,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 395 , 1 , 93 , 78 , 139 , 10.19 ,2.5, 10.19 , -   , -   ,,, 1 , -   ,795 ,794 ,,, 5 ,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 67 , 7 , 12 , 5 , 6 , 289.40 ,4.8, 289.40 , -   , -   ,,, 7 , 1 ,"1,446 ","1,440 ",,, 0 ,
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
