Material,Component_Description,Consumption,Mon_Year
105534,SAMIACEL MACCHIA 3338 ET,344.372,Apr_21
105535,OPERA MANDARINO,65.726,Apr_21
105545,RODA WAX 4092,22,Apr_21
105546,SELLA DERM BROWN M2,0.225,Apr_21
105547,SELLA DERM LIGHT BLUE M2,0.037,Apr_21
105548,SELLA DERM FUCHSIA M2,0.392,Apr_21
105550,RODA PUR K 312/F,11.8,Apr_21
105554,RODA LAC ON 3050-N3,20.763,Apr_21
105559,RODA BASE AF-B/N,150.4,Apr_21
105560,RODA FIX 5792/N2,48.62,Apr_21
105593,SHADE YELLOW/EJ,0.56,Apr_21
105595,SHADE BLACK/EJ,7.555,Apr_21
105598,SHADE BLU/EJ,0.39,Apr_21
105599,SHADE VIOLET/EJ,1.67,Apr_21
105611,SHADE YELLOW CO/EJ,0.1,Apr_21
105549,SELLA DERM ORANGE M2,11.214,Apr_21
100047,ROSILK 2229,24.685,Apr_22
100094,ACRYSOL RM-825,38.7,Apr_22
100322,ICALAC SB 200,1011.805,Apr_22
100413,MELIO FOAM AX-03,110.05,Apr_22
101261,EUDERM NAPPA SOFT S 2,662.36,Apr_22
104528,BI-372,26.006,Apr_22
104531,BLUE DHL,0.154,Apr_22
104541,CICLOESANONE *,769.521,Apr_22
104555,FI-70-306,237.7,Apr_22
104572,ICALAC SB 215,326.25,Apr_22
104624,RODA CRYL 137,266.512,Apr_22
104625,RODA FEEL S 930,51.56,Apr_22
104642,TOLUENE,16.237,Apr_22
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),56.411,Apr_22
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),272.35,Apr_22
104672,MP1,7772.864,Apr_22
104673,SE W 11 CONC,108.05,Apr_22
104676,MELIO PROMUL AP-39 A,1507.993,Apr_22
104680,MEK-CLEANING SOLVENT,329.652,Apr_22
104691,TOUCHMILL C/WS,113.225,Apr_22
104703,SMITFIX G 9058,19.78,Apr_22
104727,DILUENT NITRO GL,14327.02,Apr_22
104728,PRIMEX UD 32,11,Apr_22
104729,TRUMP FINISH 6311,93.349,Apr_22
104734,TOUCHMILL C/FAT,8,Apr_22
104744,ISOLAC ORANGE,0.065,Apr_22
104745,ISOLAC GIALLO ORO,71.072,Apr_22
104746,ISOLAC LEMON LP,11.487,Apr_22
104747,ISOLAC OCRA,28.681,Apr_22
104748,ISOLAC BRUNO,4.396,Apr_22
104749,ISOLAC BRUNO ROSSO,45.471,Apr_22
104750,ISOLAC ROSSO,4.273,Apr_22
104752,ISOLAC VIOLETTO,106.417,Apr_22
104753,ISOLAC TURCHESE,23.618,Apr_22
104754,ISOLAC NERO,216.034,Apr_22
104756,BRITEX BLACK,21.134,Apr_22
104757,BRITEX BROWN,4.2,Apr_22
104769,CONTEX AMARANTO,110.406,Apr_22
104773,TO-VI-97,748.028,Apr_22
104804,CONTEX ARANCIO ECP,42.788,Apr_22
104805,CONTEX FUCHSIA,20,Apr_22
104807,CONTEX BLU T,69.4,Apr_22
104824,NOVOLAC 750,945.308,Apr_22
104846,RODA FEEL N 4,624.955,Apr_22
104847,RODA FEEL S 2081,60.71,Apr_22
104858,ISO PROPYLIC ALCOHOL,8,Apr_22
104867,BASEMASK 5000,1135.327,Apr_22
104873,EX-WT-42-511,137.989,Apr_22
104877,CRX S 75 / NT,359.849,Apr_22
104891,LS-64-256,596.548,Apr_22
104923,TOP RT 10,117.002,Apr_22
104926,TOP 100 M,372.711,Apr_22
104928,RODA BASE 5615,571.605,Apr_22
104929,RODA BASE RECO 8,3790.324,Apr_22
104931,BINDER M-PR 400,14691.917,Apr_22
104932,BINDER W 212,6713.115,Apr_22
104937,MELIO AQUABASE W-MN,427.7,Apr_22
104938,COMPACT HP3,10470.938,Apr_22
104939,AQUAFIX LUCIDO 555,4556.687,Apr_22
104949,RODA BASE RECO 3,25.25,Apr_22
104959,EX-LS-64-468,73.55,Apr_22
104960,RODA LINK 5504/N,991.948,Apr_22
104962,RODA LEVELLER B-LM,108.178,Apr_22
104963,RODA CARE NL,2586.424,Apr_22
104964,RODA FIX 6271/B,7258.022,Apr_22
104965,RODA LINK C/70,631.07,Apr_22
104973,TFIX M 9562,1485.377,Apr_22
104988,RM 2510,461.515,Apr_22
104989,RM 1080,316.73,Apr_22
105008,BINDER M-RI 99,4634.257,Apr_22
105020,BASEMASK 5755/T2,360,Apr_22
105027,RODA TEC AW,1332.2,Apr_22
105042,SAMIANIL CB ROSSO RP,0.284,Apr_22
105043,SAMIANIL CB BRUNO RP,0.938,Apr_22
105045,SAMIANIL CB NERO RP,4.495,Apr_22
105084,GEALUX QT,39.428,Apr_22
105086,EX WT 43 051,1359.42,Apr_22
105126,ANTIFOAM NS-165,28.852,Apr_22
105167,AQUABASE HP,5550,Apr_22
105173,SMITFIX G 9631,1064.881,Apr_22
105175,SMITFIX G 9633,439.963,Apr_22
105203,RODA FIX 6306,49.2,Apr_22
105205,HM-22-132,77.23,Apr_22
105223,EXP AQ SYSTEM EF 91/8,2055.81,Apr_22
105255,MA-22-617,7.368,Apr_22
105256,XR-5525,5.985,Apr_22
105263,RODA FEEL 768/ N,81.736,Apr_22
105283,BUTYL CARBITOL (BC),216.795,Apr_22
105310,RODA LAC S 214/N,2265.525,Apr_22
105336,EX-SU-76-235,1021.296,Apr_22
105349,RODA FEEL S 2075,0.752,Apr_22
105369,RODA PUR ADX,25.553,Apr_22
105376,TOPCELL VOC FREE,4785.156,Apr_22
105393,RODA FEEL KTA 950,116.635,Apr_22
105402,ICALAC SB1 MATT,11.25,Apr_22
105409,RODA GROUND RECO 5,35.91,Apr_22
105410,EX-WT-35-711,43.498,Apr_22
105455,OXY CAR CITRON HP,61.328,Apr_22
105457,OXY CAR MOGANO HP,57.999,Apr_22
