Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments
104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,85,120,#N/A,"KARMA/TUNDRA, THUNDER"
105402,ICALAC SB1 MATT,ICAP,O,83,23,Solvent,"FISS Ellington, BENFICA, CARUSO,VISEU"
104572,ICALAC SB 215,ICAP,O,83,110,Solvent,"FISS Ellington, BENFICA, CARUSO,VISEU"
105084,GEALUX QT,Getti Brazil ,O,68,120,Auxiliary,"TATO Milling  Ellington, BENFICA, CARUSO"
104842,RODA CARE NC,-,O,0,1,Binder,
104846,RODA FEEL N 4,TFL,O,85,60,Auxiliary,"Fiss Baltimora, Tatto Milling "
104847,RODA FEEL S 2081,TFL,O,85,25,Auxiliary, FISS water & nitro (1 s? article)
100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,85,25,#N/A,backup for RODA FEEL S 2081
104852,RU 74-987,STAHL Singapore,O,80,110,Binder,
104870,WT-48-459,-,O,0,1,#N/A,
104900,NOVA EXP 2052/NF,-,O,0,1,#N/A,
104905,FOAM A 10,-,O,0,100,#N/A,
104911,ISOLAC FINISH 2081,-,O,0,50,Solvent,
105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,70,40,Binder,ch?y BASEMASK
105027,RODA TEC AW,TFL,O,85,120,Auxiliary,"Fiss Baltimora (art ALINE K TT, BALI….)"
105025,RODA BASE AF-B,TFL,O,85,120,Binder,"RIM HERCULES,FON CAPRI"
105559,RODA BASE AF-B/N,TFL,O,85,120,Binder,"RIM  AJAX TT,HERCULES,FON CAPRI"
105026,RODA FIX 6271/C,TFL,O,85,120,Binder,
101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,85,115,#N/A,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX"
100041,PRIMAL SB-100,LANXESS,O,25,120,Binder,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE"
105614,PRIMAL LH-100,LANXESS,O,25,120,#N/A,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE"
105655,PRIMAL LH 500 ,TFL Brazil,O,85,1000,#N/A,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX"
104221,PRIMAL SB-150,LANXESS,O,25,120,Binder,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE"
105615,PRIMAL LH-150,LANXESS,O,25,120,#N/A,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE"
105656,PRIMAL LH 550,TFL Brazil,O,85,1000,Binder,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX"
105008,BINDER M-RI 99,GSC GROUP S.P.A,O,70,120,Binder,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)"
104959,EX-LS-64-468,STAHL Singapore,O,25,25,Solvent,BUY MORE 225
104706,AQUABASE HF LIQ,STAHL Germany,O,80,90,Binder,
105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,14,120,Auxiliary,Tipshine
105167,Aquabase HP ,Stahl ,O,70,75,#N/A,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754"
105658,AQUABASE UPH,Stahl ,O,70,75,Binder,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore)
104910,RODA CARE 5754,TFL,O,85,100,Binder,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore)
105218,FOUNDER ROLLER 2515 ,SAMIA,O,80,40,#N/A,
105126,ANTIFOAM NS-165,Vina Hào D??ng,D,14,25,Auxiliary,"add on FISS water, Basemask 5755"
105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,70,120,Binder,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM"
