MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W VANCOUVER TIP 13/15 TR1 (3245) PC,FR PIN TBH COB BC VANCOUVER TIP 3245,3245,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (3343) PC,FR PIN TBH COB BC VANCOUVER TIP 3343,3343,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (3355) PC,FR PIN TBH COB BC VANCOUVER TIP 3355,3355,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (5710) PC,FR PIN TBH COB BC VANCOUVER TIP 5710,5710,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (7134) PC,FR PIN TBH COB BC VANCOUVER WHITE 7134,7134,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (7369),FR PIN TBH COB BC VANCOUVER TIP 7369,7369,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (8603),FR PIN TBH COB BC VANCOUVER TIP 8603,8603,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (8797) PC,FR PIN TBH COB BC VANCOUVER TIP 8797,8797,VANCOUVER,TOP,,
CAC-W VANCOUVER TIP 13/15 TR1 (9819) PC,FR PIN TBH EMU TOPCELL,9819,VANCOUVER,TOP,,
CAC-W VANCOUVER TS 12/14 TR (2241) PC,FR PIN TBH COB BC VANCOUVER TS 2241,2241,VANCOUVER,SPLIT,,
CAC-W VANCOUVER TS 12/14 TR (2747) PC,FR PIN TBH COB BC VANCOUVER TS 2747,2747,VANCOUVER,SPLIT,,
CAC-W VANCOUVER TS 13/15 TR (4324) PC,FR PIN TBH COB BC VANCOUVER TS 4324,4324,VANCOUVER,SPLIT,,
CAC-W VANCOUVER TT 13/15 TR1 (1301),FR PIN TBH COB BC VANCOUVER TT 1301,1301,VANCOUVER,TOP,,
CAC-W VANCOUVER TT 13/15 TR2 (1749),FR PIN TBH COB BC VANCOUVER TT 1749,1749,VANCOUVER,TOP,,
CAC-W VANCOUVER TT TIP 13/15 TR1 (1310),FR PIN TBH COB BC VANCOUVER TT TIP 1310,1310,VANCOUVER,TOP,,
CAC-W VANILE 12/14 TR1 (1347) PC,FR PIN TBH FS F212,1347,VANILE,TOP,,
CAC-W VANILE 12/14 TR1 (7857) PC,FR PIN TBH FS F212,7857,VANILE,TOP,,
CAC-W VANILE 12/14 TR1 (8032) PC,FR PIN TBH FS F212,8032,VANILE,TOP,,
CAC-W VANILE 13/15 TR1 (3356) PC,FR PIN TBH COB NTM PB FOR EMBOSSING STR,3356,VANILE,TOP,,
CAC-W VANILE 13/15 TR1 (5740) PC,FR PIN TBH COB PFD VANILE 5740,5740,VANILE,TOP,,
CAC-W VANILE K TT 13/15 TR1 (2382) PC,FR PIN TBH COB NTM PB FOR EMBOSSING STR,2382,VANILE,TOP,,
CAC-W VANILE K TT TIP 12/14 TR1 (5773),FR PIN TBH FS F212,5773,VANILE,TOP,,
CAC-W VANILE K TT TIP 13/15 TR1 (7832),FR PIN TBH FS F212,7832,VANILE,TOP,,
CAC-W VANILE TIP 12/14 TR1 (3246) PC,FR PIN TBH COB PB VANILE TIP 3246,3246,VANILE,TOP,,
CAC-W VANILE TIP 12/14 TR1 (3247) PC,FR PIN TBH COB PB VANILE TIP 3247,3247,VANILE,TOP,,
CAC-W VANILE TIP 13/15 TR1 (2231) PC,FR PIN TBH COB PFD VANILE TIP 2231,2231,VANILE,TOP,,
CAC-W VANILE TIP 13/15 TR2 (3230) PC,FR PIN TBH COB PFD VANILE TIP 3230,3230,VANILE,TOP,,
CAC-W VANILE TT TIP 13/15 TR2 (5788) PC,FR PIN TBH COB PFD VANILE TT TIP 5788,5788,VANILE,TOP,,
CAC-W VEGAS 09/11 TR (1286) PC,FR PIN TBH PB X ARTICLE,1286,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR (8204),FR PIN TBH PB X ARTICLE,8204,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR (9753),FR PIN TBH PB X ARTICLE,9753,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (2220) PC,FR PIN TBH PB X ARTICLE,2220,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (2221) PC,FR PIN TBH PB X ARTICLE,2221,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (4704) PC,FR PIN TBH PB X ARTICLE,4704,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (7628) PC,FR PIN TBH PB X ARTICLE,7628,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (8205),FR PIN TBH PB X ARTICLE,8205,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (8897) PC,FR PIN TBH PB X ARTICLE,8897,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (9025),FR PIN TBH PB X ARTICLE,9025,VEGAS,TOP,,
CAC-W VEGAS 09/11 TR1 (9270),FR PIN TBH PB X ARTICLE,9270,VEGAS,TOP,,
CAC-W VEGAS K TT 09/11 TR1 (7327),FR PIN TBH PB X ARTICLE,7327,VEGAS,TOP,,
CAC-W VEGAS PC 09/11 TR1 (9581) PC,FR PIN TBH PB X ARTICLE,9581,VEGAS,TOP,,
CAC-W VENEZA 09/11 TR (17153) PC,FR PIN TBH PB X ARTICLE,17153,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (1222) PC,FR PIN TBH PB X ARTICLE,1222,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2250) PC,FR PIN TBH PB X ARTICLE,2250,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2293) PC,FR PIN TBH PB X ARTICLE,2293,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2294) PC,FR PIN TBH PB X ARTICLE,2294,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2295) PC,FR PIN TBH PB X ARTICLE,2295,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2296) PC,FR PIN TBH PB X ARTICLE,2296,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2399) PC,FR PIN TBH PB X ARTICLE,2399,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (2730) PC,FR PIN TBH PB X ARTICLE,2730,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (3791) PC,FR PIN TBH PB X ARTICLE,3791,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (3797) PC,FR PIN TBH PB X ARTICLE,3797,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (3798) PC,FR PIN TBH PB X ARTICLE,3798,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (4783) PC,FR PIN TBH PB X ARTICLE,4783,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (5006) PC,FR PIN TBH PB X ARTICLE,5006,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (5261) PC,FR PIN TBH PB X ARTICLE,5261,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (6795) PC,FR PIN TBH PB X ARTICLE,6795,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (7037) PC,FR PIN TBH PB X ARTICLE,7037,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (8050),FR PIN TBH PB X ARTICLE,8050,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (8330),FR PIN TBH PB X ARTICLE,8330,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (8818) PC,FR PIN TBH PB X ARTICLE,8818,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (9031),FR PIN TBH PB X ARTICLE,9031,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (9301) PC,FR PIN TBH PB X ARTICLE,9301,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (9474) PC,FR PIN TBH PB X ARTICLE,9474,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (9659),FR PIN TBH PB X ARTICLE,9659,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR1 (9765),FR PIN TBH PB X ARTICLE,9765,VENEZA,TOP,,
CAC-W VENEZA 09/11 TR2 (9153),FR PIN TBH PB X ARTICLE,9153,VENEZA,TOP,,
CAC-W VENEZA HP 09/11 TR1 (3751) PC,FR PIN TBH FS F212,3751,VENEZA,TOP,,
CAC-W VENEZA HP 09/11 TR1 (3785) PC,FR PIN TBH COB BC VENEZA HP 3785,3785,VENEZA,TOP,,
CAC-W VENEZA HP 09/11 TR1 (3786) PC,FR PIN TBH COB BC VENEZA HP 3786,3786,VENEZA,TOP,,
CAC-W VENEZA HP 09/11 TR1 (5338) PC,FR PIN TBH COB BC VENEZA HP 5338,5338,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (1228) PC,FR PIN TBH COB PB VENEZA LUX 1228,1228,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (1231) PC,FR PIN TBH COB PB VENEZA LUX 1231,1231,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (1288) PC,FR PIN TBH COB PB VENEZA LUX 1288,1288,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (2209) PC,FR PIN TBH COB PB VENEZA LUX 2209,2209,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (2714) PC,FR PIN TBH COB PB VENEZA LUX 2714,2714,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (4243) PC,FR PIN TBH COB PB VENEZA LUX 4243,4243,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (6025) PC,FR PIN TBH FS F212,6025,VENEZA,TOP,,
CAC-W VENEZA LUX 09/11 TR1 (9393) PC,FR PIN TBH EMU LIG COL,9393,VENEZA,TOP,,
CAC-W VENEZA NX 09/11 TR1 (3302),FR PIN TBH COB BC VENEZA NX 3302,3302,VENEZA,TOP,,
CAC-W VENEZA NX 09/11 TR1 (3303),FR PIN TBH COB BC VENEZA NX 3303,3303,VENEZA,TOP,,
CAC-W VENEZA TOP 09/11 TR1 (1292) PC,FR PIN TBH COB BC VENEZA TOP 1292,1292,VENEZA,TOP,,
CAC-W VENEZA TOP 09/11 TR1 (17026),FR PIN TBH COB BC VENEZA TOP 17026,17026,VENEZA,TOP,,
CAC-W VENEZA TT 09/11 TR1 (2351) PC,FR PIN TBH PB X ARTICLE,2351,VENEZA,TOP,,
CAC-W VENEZA TT 09/11 TR1 (5675),FR PIN TBH PB X ARTICLE,5675,VENEZA,TOP,,
CAC-W VIDAL 09/11 TR1 (8047) PC,FR PIN TBH COB BC VIDAL 8047,8047,VIDAL,TOP,,
CAC-W VIKING K TT 14/16 TR1 (2312) PC,FR PIN TBH COB CC VIKING K TT 2312,2312,VIKING,TOP,,
CAC-W VINCI TT 09/11 TR1 (7656) PC,FR PIN TBH FS C3H8O,7656,VINCI,TOP,,
CAC-W VINCI TT 09/11 TR1 (7658) PC,FR PIN TBH FS C3H8O,7658,VINCI,TOP,,
CAC-W VINT DU K TT 09/11 TR1 (8542),FR PIN TBH FS F212,8542,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13002) PC,FR PIN TBH FS F212,13002,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13042) PC,FR PIN TBH FS F212,13042,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13112) PC,FR PIN TBH FS F212,13112,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13113) PC,FR PIN TBH FS F212,13113,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13114) PC,FR PIN TBH FS F212,13114,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13121) PC,FR PIN TBH FS F212,13121,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13122) PC,FR PIN TBH FS F212,13122,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13123) PC,FR PIN TBH FS F212,13123,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13124) PC,FR PIN TBH FS F212,13124,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13128) PC,FR PIN TBH FS F212,13128,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13130) PC,FR PIN TBH FS F212,13130,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (13214) PC,FR PIN TBH FS F212,13214,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (1367) PC,FR PIN TBH FS F212,1367,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (17084),FR PIN TBH FS F212,17084,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (17164) PC,FR PIN TBH FS F212,17164,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (2347) PC,FR PIN TBH FS F212,2347,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (2703) PC,FR PIN TBH FS F212,2703,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (2704) PC,FR PIN TBH COB BC VINT K TT 2704,2704,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (2772) PC,FR PIN TBH FS F212,2772,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (2782) PC,FR PIN TBH FS F212,2782,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (4354) PC,FR PIN TBH FS F212,4354,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5016) PC,FR PIN TBH FS F212,5016,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5018) PC,FR PIN TBH FS F212,5018,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5049) PC,FR PIN TBH FS F212,5049,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5071) PC,FR PIN TBH FS F212,5071,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5323) PC,FR PIN TBH COB CC VINT K TT 5323,5323,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5324) PC,FR PIN TBH FS F212,5324,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (5329) PC,FR PIN TBH FS F212,5329,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (6397) PC,FR PIN TBH FS F212,6397,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (6603) PC,FR PIN TBH FS F212,6603,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (7814) PC,FR PIN TBH FS F212,7814,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (7848) PC,FR PIN TBH FS F212,7848,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8508) PC,FR PIN TBH FS F212,8508,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8522) PC,FR PIN TBH FS F212,8522,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8538) PC,FR PIN TBH FS F212,8538,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8539) PC,FR PIN TBH FS F212,8539,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8553),FR PIN TBH FS F212,8553,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (8792) PC,FR PIN TBH FS F212,8792,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (9091) PC,FR PIN TBH FS F212,9091,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (9320) PC,FR PIN TBH COB BC VINT K TT 9320,9320,VINT,TOP,,
CAC-W VINT K TT 09/11 TR1 (9553) PC,FR PIN TBH FS F212,9553,VINT,TOP,,
CAC-W VINT K TT TS 09/11 TR (13214),FR PIN TBH COB BC VINT K TT TS 13214,13214,VINT,SPLIT,,
CAC-W VINT K TT TS 09/11 TR (1367),FR PIN TBH FS F212,1367,VINT,SPLIT,,
CAC-W VINT K TT TS 09/11 TR (5324),FR PIN TBH FS F212,5324,VINT,SPLIT,,
CAC-W VINT K TT TS 09/11 TR (9320),FR PIN TBH FS F212,9320,VINT,SPLIT,,
CAC-W VINT K TT TSF 09/11 TR (5324),FR PIN TBH PB X ARTICLE,5324,VINT,SPLIT,,
CAC-W VINT SHE K TT 09/11 TR1 (12123) PC,FR PIN TBH FS F212,12123,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (13094),FR PIN TBH FS F212,13094,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (13488),FR PIN TBH FS F212,13488,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (13539) PC,FR PIN TBH FS F212,13539,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (13540) PC,FR PIN TBH FS F212,13540,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (13541) PC,FR PIN TBH FS F212,13541,VINT,TOP,,
CAC-W VINT SHE K TT 09/11 TR1 (8529),FR PIN TBH FS F212,8529,VINT,TOP,,
CAC-W VINT SHE K TT TS 09/11 TR (13094),FR PIN TBH COB BC VINT K TT TS 13094,13094,VINT,SPLIT,,
CAC-W VINT SHE K TT TSF 12/14 TR (8262),FR PIN TBH COB BC VINT SO K TT TSF 2342,8262,VINT,SPLIT,,
CAC-W VINT SO K TT 09/11 TR1 (12025),FR PIN TBH FS F212,12025,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (12029),FR PIN TBH FS F212,12029,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (12074) PC,FR PIN TBH FS F212,12074,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13220),FR PIN TBH FS F212,13220,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13254),FR PIN TBH FS F212,13254,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13271),FR PIN TBH FS F212,13271,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13314),FR PIN TBH FS F212,13314,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13317),FR PIN TBH FS F212,13317,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13318),FR PIN TBH FS F212,13318,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13325),FR PIN TBH FS F212,13325,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13348),FR PIN TBH FS F212,13348,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13375),FR PIN TBH FS F212,13375,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13379),FR PIN TBH FS F212,13379,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13389) PC,FR PIN TBH FS F212,13389,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13390) PC,FR PIN TBH FS F212,13390,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13423) PC,FR PIN TBH FS F212,13423,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13424) PC,FR PIN TBH FS F212,13424,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13425) PC,FR PIN TBH COB BC VINT SO K TT 13425,13425,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13426) PC,FR PIN TBH FS F212,13426,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13427) PC,FR PIN TBH FS F212,13427,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13450) PC,FR PIN TBH FS F212,13450,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13451) PC,FR PIN TBH FS F212,13451,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13468) PC,FR PIN TBH FS F212,13468,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (13469) PC,FR PIN TBH FS F212,13469,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (1368),FR PIN TBH FS F212,1368,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (1369),FR PIN TBH FS F212,1369,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (17083),FR PIN TBH FS F212,17083,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (17141) PC,FR PIN TBH FS F212,17141,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (17142) PC,FR PIN TBH FS F212,17142,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (2236),FR PIN TBH FS F212,2236,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (2259),FR PIN TBH FS F212,2259,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (2342),FR PIN TBH FS F212,2342,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (2399),FR PIN TBH FS F212,2399,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (2731),FR PIN TBH FS F212,2731,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (3228),FR PIN TBH FS F212,3228,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (3378),FR PIN TBH FS F212,3378,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (4224),FR PIN TBH FS F212,4224,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (4315),FR PIN TBH FS F212,4315,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (4317),FR PIN TBH FS F212,4317,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (4329),FR PIN TBH FS F212,4329,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (4337),FR PIN TBH FS F212,4337,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5013),FR PIN TBH FS F212,5013,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5046) PC,FR PIN TBH FS F212,5046,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5052) PC,FR PIN TBH FS F212,5052,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5053) PC,FR PIN TBH FS F212,5053,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5062) PC,FR PIN TBH FS F212,5062,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5262),FR PIN TBH FS F212,5262,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5358),FR PIN TBH FS F212,5358,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (5381),FR PIN TBH FS F212,5381,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6386),FR PIN TBH FS F212,6386,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6640) PC,FR PIN TBH FS F212,6640,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6807),FR PIN TBH FS F212,6807,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6826) PC,FR PIN TBH FS F212,6826,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6827) PC,FR PIN TBH FS F212,6827,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (6834) PC,FR PIN TBH FS F212,6834,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (7056),FR PIN TBH FS F212,7056,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (7353),FR PIN TBH FS F212,7353,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (7357),FR PIN TBH FS F212,7357,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (7807),FR PIN TBH FS F212,7807,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (8262),FR PIN TBH FS F212,8262,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (8353),FR PIN TBH FS F212,8353,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (8530),FR PIN TBH FS F212,8530,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (8844),FR PIN TBH FS F212,8844,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9092),FR PIN TBH FS F212,9092,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9096),FR PIN TBH FS F212,9096,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9097),FR PIN TBH FS F212,9097,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9356),FR PIN TBH FS F212,9356,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9389),FR PIN TBH FS F212,9389,VINT,TOP,,
CAC-W VINT SO K TT 09/11 TR1 (9577),FR PIN TBH FS F212,9577,VINT,TOP,,
CAC-W VINT SO K TT TS 09/11 TR (2342),FR PIN TBH COB PB VINT SO K TT TS 2342,2342,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (2399),FR PIN TBH COB PB VINT SO K TT TS 2399,2399,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (4315),FR PIN TBH COB PB VINT SO K TT TS 4315,4315,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (4317),FR PIN TBH COB CC VINT SO K TT TS 4317,4317,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (7357),FR PIN TBH COB PB VINT SO K TT TS 7357,7357,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (8262),FR PIN TBH COB PB VINT SO K TT TS 8262,8262,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (9092),FR PIN TBH COB PB VINT SO K TT TS 9092,9092,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (9096),FR PIN TBH COB PB VINT SO K TT TS 9096,9096,VINT,SPLIT,,
CAC-W VINT SO K TT TS 09/11 TR (9097),FR PIN TBH COB PB VINT SO K TT TS 9097,9097,VINT,SPLIT,,
CAC-W VINT SO K TT TS 12/14 TR (13314),FR PIN TBH COB PB VINT SO K TT TS 13314,13314,VINT,SPLIT,,
CAC-W VINT SO K TT TS 12/14 TR (3378),FR PIN TBH COB PB VINT SO K TT TS 3378,3378,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 11/13 TR (7357),FR PIN TBH PB X ARTICLE,7357,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (2342),FR PIN TBH COB BC VINT SO K TT TSF 2342,2342,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (4315),FR PIN TBH COB BC VINT SO K TT TSF 4315,4315,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (4317),FR PIN TBH COB BC VINT SO K TT TSF 4317,4317,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (8262),FR PIN TBH COB BC VINT SO K TT TSF 8262,8262,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (9096),FR PIN TBH COB BC VINT SO K TT TSF 9096,9096,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14 TR (9097),FR PIN TBH COB BC VINT SO K TT TS 9097,9097,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14TR (12025),FR PIN TBH PB X ARTICLE,12025,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14TR (13271),FR PIN TBH PB X ARTICLE,13271,VINT,SPLIT,,
CAC-W VINT SO K TT TSF 12/14TR (13314),FR PIN TBH PB X ARTICLE,13314,VINT,SPLIT,,
CAC-W VINTAGE K TT 09/11 TR (5071) PC,FR PIN TBH FS F212,5071,VINTAGE,TOP,,
CAC-W VIP K 09/11 TR1 (4359),FR PIN TBH PB X ARTICLE,4359,VIP,TOP,,
CAC-W VISEU K TT LUX 11/13 TR (1325) PC,FR PIN TBH FS F212,1325,VISEU,TOP,,
CAC-W VISEU K TT LUX 11/13 TR (4707) PC,FR PIN TBH COB PB VISEU K TT 4707,4707,VISEU,TOP,,
CAC-W VISEU K TT LUX 11/13 TR (4755) PC,FR PIN TBH FS F212,4755,VISEU,TOP,,
