MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W ALINE K TT 09/11 TR1 (2246) PC,FR PIN TBH PB X ARTICLE,2246,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2297) PC,FR PIN TBH PB X ARTICLE,2297,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2338) PC,FR PIN TBH PB X ARTICLE,2338,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2379) PC,FR PIN TBH PB X ARTICLE,2379,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2380) PC,FR PIN TBH PB X ARTICLE,2380,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2387) PC,FR PIN TBH PB X ARTICLE,2387,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2388) PC,FR PIN TBH PB X ARTICLE,2388,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2726) PC,FR PIN TBH FS F212,2726,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2728) PC,FR PIN TBH PB X ARTICLE,2728,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2729) PC,FR PIN TBH PB X ARTICLE,2729,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2742) PC,FR PIN TBH FS F212,2742,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2748) PC,FR PIN TBH FS F212,2748,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2750) PC,FR PIN TBH PB X ARTICLE,2750,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2751) PC,FR PIN TBH PB X ARTICLE,2751,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (2752) PC,FR PIN TBH FS F212,2752,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2779) PC,FR PIN TBH FS F212,2779,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2781) PC,FR PIN TBH FS F212,2781,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2793) PC,FR PIN TBH FS F212,2793,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (2794) PC,FR PIN TBH FS F212,2794,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (3229) PC,FR PIN TBH PB X ARTICLE,3229,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3305) PC,FR PIN TBH PB X ARTICLE,3305,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3332) PC,FR PIN TBH PB X ARTICLE,3332,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3337) PC,FR PIN TBH PB X ARTICLE,3337,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3377) PC,FR PIN TBH PB X ARTICLE,3377,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3709) PC,FR PIN TBH PB X ARTICLE,3709,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3719) PC,FR PIN TBH FS F212,3719,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (3770) PC,FR PIN TBH FS F212,3770,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (3780) PC,FR PIN TBH FS F212,3780,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (3781) PC,FR PIN TBH PB X ARTICLE,3781,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (3787) PC,FR PIN TBH FS F212,3787,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (4264) PC,FR PIN TBH FS F212,4264,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (4276) PC,FR PIN TBH PB X ARTICLE,4276,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4282) PC,FR PIN TBH PB X ARTICLE,4282,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4311) PC,FR PIN TBH FS F212,4311,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (4325) PC,FR PIN TBH PB X ARTICLE,4325,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4333) PC,FR PIN TBH PB X ARTICLE,4333,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4336) PC,FR PIN TBH PB X ARTICLE,4336,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4390) PC,FR PIN TBH PB X ARTICLE,4390,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4730) PC,FR PIN TBH PB X ARTICLE,4730,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4732) PC,FR PIN TBH PB X ARTICLE,4732,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4737) PC,FR PIN TBH PB X ARTICLE,4737,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4754) PC,FR PIN TBH PB X ARTICLE,4754,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4781) PC,FR PIN TBH PB X ARTICLE,4781,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4791) PC,FR PIN TBH PB X ARTICLE,4791,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4792) PC,FR PIN TBH PB X ARTICLE,4792,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (4793) PC,FR PIN TBH PB X ARTICLE,4793,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (5256) PC,FR PIN TBH FS F212,5256,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (5257) PC,FR PIN TBH FS F212,5257,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (5728) PC,FR PIN TBH PB X ARTICLE,5728,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (5729) PC,FR PIN TBH PB X ARTICLE,5729,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (5752) PC,FR PIN TBH PB X ARTICLE,5752,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (5754) PC,FR PIN TBH PB X ARTICLE,5754,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6333) PC,FR PIN TBH PB X ARTICLE,6333,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6338) PC,FR PIN TBH PB X ARTICLE,6338,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6366) PC,FR PIN TBH FS F212,6366,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (6373) PC,FR PIN TBH PB X ARTICLE,6373,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6395) PC,FR PIN TBH PB X ARTICLE,6395,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6398) PC,FR PIN TBH PB X ARTICLE,6398,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6626) PC,FR PIN TBH PB X ARTICLE,6626,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6766) PC,FR PIN TBH PB X ARTICLE,6766,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6769) PC,FR PIN TBH PB X ARTICLE,6769,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6771) PC,FR PIN TBH PB X ARTICLE,6771,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6774) PC,FR PIN TBH FS F212,6774,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (6786) PC,FR PIN TBH PB X ARTICLE,6786,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6806) PC,FR PIN TBH PB X ARTICLE,6806,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (6811) PC,FR PIN TBH FS F212,6811,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (6812) PC,FR PIN TBH FS F212,6812,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (6829) PC,FR PIN TBH FS F212,6829,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7144) PC,FR PIN TBH PB X ARTICLE,7144,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7335) PC,FR PIN TBH PB X ARTICLE,7335,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7336) PC,FR PIN TBH PB X ARTICLE,7336,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7360) PC,FR PIN TBH PB X ARTICLE,7360,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7812) PC,FR PIN TBH PB X ARTICLE,7812,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7829) PC,FR PIN TBH PB X ARTICLE,7829,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7834) PC,FR PIN TBH PB X ARTICLE,7834,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (7836) PC,FR PIN TBH FS F212,7836,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7844) PC,FR PIN TBH FS F212,7844,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7851) PC,FR PIN TBH FS F212,7851,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7853) PC,FR PIN TBH FS F212,7853,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7854) PC,FR PIN TBH FS F212,7854,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7862) PC,FR PIN TBH FS F212,7862,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7874) PC,FR PIN TBH FS F212,7874,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7890) PC,FR PIN TBH FS F212,7890,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (7896) PC,FR PIN TBH FS F212,7896,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (8307) PC,FR PIN TBH PB X ARTICLE,8307,ALINE,TOP,4,
