,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
979,105186,OXY FINE ARANCIO CO,0.0,0.0,0.0,0.0,0.0,0.0
980,105187,OXY FINE TURCHESE,0.0,0.0,0.0,0.0,0.0,0.0
981,105188,OXY FINE VERDE,0.0,0.0,0.0,0.0,0.0,0.0
982,105189,CRX 657,0.0,0.0,0.0,0.0,0.0,0.0
983,105190,FYL WAX 2500,0.0,0.0,0.0,0.0,0.0,0.0
984,105192,PRIMEX 3057,0.0,0.0,0.0,0.0,0.0,0.0
985,105193,ADDITIVE LIV 2455/2,0.0,0.0,0.0,0.0,0.948,1.1
986,105194,AQ SYSTEM 535 LUX,0.0,0.0,0.0,0.0,0.0,0.0
987,105195,AQ SYSTEM IW3 MATT-E,0.0,0.0,0.0,0.0,0.0,0.0
988,105196,AQ SYSTEM RC 1,0.0,0.0,0.0,0.0,0.0,0.0
989,105197,AQ SYSTEM 411 MATT,0.0,0.0,0.0,0.0,0.0,0.0
990,105198,CRX 3180,0.0,0.0,0.0,0.0,0.0,0.0
991,105199,CRX 3170,0.0,0.0,0.0,0.0,0.0,0.0
992,105200,CRX 657,0.0,0.0,0.0,0.0,0.0,0.0
993,105203,RODA FIX 6306,126.3,48.525,37.2,591.671,118.97,459.57
994,105204,RODA FIX 5114 DULL,0.0,0.0,0.0,0.0,0.0,0.0
995,105205,HM-22-132,42.062,47.64,43.663,49.301,39.83,28.01
996,105208,SAMIANIL CB FUXIA RP,0.0,0.0,0.0,0.0,0.0,0.0
997,105209,SAMIANIL CB LIMONE RP,0.0,0.0,0.0,0.0,0.0,0.0
998,105210,SAMIANIL CB ARANCIO RP,0.0,0.0,0.0,0.0,0.0,0.0
999,105211,RODA WAX BT,0.0,0.0,0.0,0.0,0.0,0.0
1000,105212,RODA MOD PA,0.0,0.0,0.0,0.0,0.0,0.0
1001,105213,DOWESION BRILLIANNT BLUE N832,0.0,0.0,0.0,49.425,0.0,0.0
1002,105214,DOWESION BLUE F871,0.0,0.0,0.0,1.71,0.0,0.0
