,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
89,105263.0,RODA FEEL 768/ N,TFL,O,85.0,30.0,Auxiliary,"Tato Milling art ELLINGTESSE K TT, add on FISS water",,,1320.0,77.0,0.754,COMPOUND,7.0,0.0,9.0,14.0
90,104696.0,LAMSOFT W 81,UNICHEM,O,54.0,100.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
91,104709.0,LAMWAX 6,UNICHEM,O,54.0,120.0,,,,,,,0.0,,,,0.0,0.0
92,104806.0,CONTEX LEMON C,SAMIA,O,70.0,120.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
93,105469.0,OPERA LIMONE,GSC,O,70.0,120.0,Pigmented,GSC pigment,240.0,2023-07-22::240.0,1680.0,97.0,16.796,PIGMENT,473.0,50.0,237.0,193.0
94,104746.0,ISOLAC LEMON LP,SAMIA,O,70.0,10.0,Pigmented,"xai het khong mua, chuyen qua  SHADE LEMON",,,,4.0,0.0,PIGMENT,11.0,4.0,2.0,0.0
95,105594.0,SHADE LEMON/EJ,GSC,O,70.0,10.0,,"pigment EFF nitro, KELA",,,50.0,5.0,0.238,,,,6.0,10.0
96,104759.0,BRITEX LEMON ICE,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
97,104588.0,LS-8296,STAHL Singapore,O,23.0,100.0,Solvent,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
98,105353.0,LS-64-296 ,STAHL Europe,O,83.0,100.0,,THUNDER,,,100.0,,0.0,COMPOUND,0.0,0.0,0.0,0.0
99,104891.0,LS-64-256,STAHL Singapore,O,25.0,100.0,Solvent,"EMU, FIS 1,VINTAGE, EFF WILD",,,3200.0,50.0,139.51,COMPOUND,1959.0,142.0,935.0,958.0
100,104792.0,RODA LAC S 214,TFL,O,85.0,110.0,Solvent,,,,,,0.0,,,,0.0,0.0
101,105310.0,RODA LAC S 214/N,TFL,O,85.0,110.0,Solvent,"EF+FISS NITRO, SIENA",,,12540.0,381.0,760.528,COMPOUND,3949.0,1910.0,3224.0,3446.0
102,104729.0,TRUMP FINISH 6311,ISELLO,O,75.0,45.0,Solvent,,,,855.0,28.0,0.0,COMPOUND,64.0,9.0,33.0,26.0
103,105016.0,SU-2960,STAHL Netherlands,O,105.0,100.0,,,,,,,0.0,,,,0.0,0.0
104,104937.0,MELIO AQUABASE W-MN,STAHL Singapore,O,25.0,70.0,Binder,STUCCO BY HAND,,,630.0,76.0,118.4,,,,453.0,467.0
105,104601.0,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,14.0,1.0,,,,,3.0,2.0,0.0,COMPOUND,0.0,0.0,0.0,0.0
106,104680.0,MEK-CLEANING SOLVENT,RIVERBANK,D,14.0,165.0,Solvent,FISS nitro,,,,226.0,38.38,COMPOUND,226.0,27.0,213.0,176.0
107,104676.0,MELIO PROMUL AP-39 A,STAHL Singapore,O,25.0,120.0,Binder,,,,6720.0,584.0,201.177,COMPOUND,2556.0,503.0,1239.0,1154.0
108,104961.0,RODA PUR 65,TFL,O,85.0,1000.0,Binder,xai het chuyen qua ASTACIN FINISH PUMN TF,,,,,0.0,,,,1007.0,1374.0
109,105505.0,ASTACIN FINISH PUMN TF,STAHL Singapore,O,28.0,120.0,Binder,xai het PUR 65 chuyen qua xai TF Singapore,,,12200.0,532.0,584.675,COMPOUND,6308.0,1967.0,1746.0,1353.0
110,104960.0,RODA LINK 5504/N,TFL,O,85.0,10.0,Auxiliary,cross linker,1300.0,2023-06-29::1300.0,3460.0,388.0,158.94,COMPOUND,1700.0,468.0,763.0,825.0
111,104675.0,MELIO 09-R-179,STAHL,O,83.0,10.0,Auxiliary,same as Rodalink 5504,,,,,0.0,,,,0.0,0.0
112,105159.0,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,0.0,10.0,,,,,,,0.0,,,,0.0,0.0
113,105157.0,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,0.0,10.0,,,,,,,0.0,,,,0.0,0.0
114,104734.0,TOUCHMILL C/FAT,GSC ITALY,O,80.0,1000.0,Auxiliary,OLIO,,,,156.0,0.0,,,,0.0,0.0
115,104643.0,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,80.0,1000.0,Auxiliary,Will flush out and stop,,,,,0.0,,,,0.0,0.0
